t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.5516,cmd,4,32.2234,,,0.00,0.00,
0.5521,state,3,16.0513,1.399,-0.0440,,,37.0
0.5523,state,4,32.2014,-8.675,-0.0293,,,36.0
0.5614,cmd,3,16.0513,,,0.00,0.00,
0.5615,cmd,4,32.2014,,,0.00,0.00,
0.5620,state,3,16.0513,-3.078,-0.0440,,,37.0
0.5621,state,4,32.2014,-5.317,-0.0293,,,36.0
0.5714,cmd,3,16.0513,,,0.00,0.00,
0.5714,cmd,4,32.2014,,,0.00,0.00,
0.5720,state,3,16.0513,-6.436,-0.0440,,,37.0
0.5721,state,4,32.2014,-2.518,-0.0293,,,36.0
0.5814,cmd,3,16.0513,,,0.00,0.00,
0.5815,cmd,4,32.2014,,,0.00,0.00,
0.5821,state,3,16.0513,-1.399,-0.0440,,,37.0
0.5822,state,4,32.2014,-0.839,-0.1465,,,36.0
0.5915,cmd,3,16.0513,,,0.00,0.00,
0.5915,cmd,4,32.2014,,,0.00,0.00,
0.5921,state,3,16.0513,5.876,-0.0440,,,37.0
0.5921,state,4,32.2234,3.078,-0.0879,,,36.0
0.6014,cmd,3,16.0513,,,0.00,0.00,
0.6014,cmd,4,32.2014,,,0.00,0.00,
0.6021,state,3,16.0513,-3.078,-0.0440,,,37.0
0.6021,state,4,32.2014,1.959,-0.0293,,,36.0
0.6114,cmd,3,16.0513,,,0.00,0.00,
0.6115,cmd,4,32.2234,,,0.00,0.00,
0.6121,state,3,16.0513,-4.757,-0.0440,,,37.0
0.6121,state,4,32.2014,0.839,-0.0293,,,36.0
0.6214,cmd,3,16.0513,,,0.00,0.00,
0.6214,cmd,4,32.2014,,,0.00,0.00,
0.6220,state,3,16.0513,-5.876,-0.0147,,,37.0
0.6221,state,4,32.2014,-3.078,-0.0879,,,36.0
0.6314,cmd,3,16.0513,,,0.00,0.00,
0.6314,cmd,4,32.2014,,,0.00,0.00,
0.6320,state,3,16.0513,1.959,-0.0147,,,37.0
0.6321,state,4,32.2014,-2.518,-0.0293,,,36.0
0.6414,cmd,3,16.0513,,,0.00,0.00,
0.6414,cmd,4,32.2014,,,0.00,0.00,
0.6421,state,3,16.0513,1.959,0.0147,,,37.0
0.6421,state,4,32.2014,-0.280,-0.0293,,,36.0
0.6514,cmd,3,16.0513,,,0.00,0.00,
0.6514,cmd,4,32.2014,,,0.00,0.00,
0.6520,state,3,16.0513,2.518,-0.0147,,,37.0
0.6521,state,4,32.2014,2.518,-0.0293,,,36.0
0.6614,cmd,3,16.0513,,,0.00,0.00,
0.6614,cmd,4,32.2014,,,0.00,0.00,
0.6621,state,3,16.0513,-3.078,-0.0147,,,37.0
0.6621,state,4,32.2014,-0.839,-0.0879,,,36.0
0.6715,cmd,3,16.0513,,,0.00,0.00,
0.6715,cmd,4,32.2014,,,0.00,0.00,
0.6719,state,3,16.0513,5.876,-0.0733,,,37.0
