t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.3724,cmd,4,46.3740,,,0.00,0.00,
0.3729,state,3,32.0256,6.996,-0.0147,,,31.0
0.3730,state,4,46.3520,-3.078,-0.0879,,,29.0
0.3823,cmd,3,32.0256,,,0.00,0.00,
0.3823,cmd,4,46.3740,,,0.00,0.00,
0.3828,state,3,32.0256,1.959,0.0147,,,31.0
0.3829,state,4,46.3520,-0.839,-0.0879,,,29.0
0.3922,cmd,3,32.0256,,,0.00,0.00,
0.3922,cmd,4,46.3520,,,0.00,0.00,
0.3928,state,3,32.0256,1.959,-0.0147,,,31.0
0.3929,state,4,46.3740,3.638,-0.0293,,,29.0
0.4022,cmd,3,32.0256,,,0.00,0.00,
0.4022,cmd,4,46.3520,,,0.00,0.00,
0.4027,state,3,32.0256,-2.518,-0.0147,,,31.0
0.4037,state,4,46.3740,-0.839,-0.0293,,,29.0
0.4124,cmd,3,32.0256,,,0.00,0.00,
0.4124,cmd,4,46.3740,,,0.00,0.00,
0.4128,state,3,32.0256,3.638,0.0147,,,31.0
0.4131,state,4,46.3740,1.959,-0.0879,,,29.0
0.4224,cmd,3,32.0256,,,0.00,0.00,
0.4224,cmd,4,46.3740,,,0.00,0.00,
0.4228,state,3,32.0256,-1.959,-0.0147,,,31.0
0.4236,state,4,46.3740,-2.518,-0.0879,,,30.0
0.4323,cmd,3,32.0256,,,0.00,0.00,
0.4323,cmd,4,46.3740,,,0.00,0.00,
0.4327,state,3,32.0256,0.280,-0.0733,,,31.0
0.4332,state,4,46.3740,1.399,-0.0293,,,30.0
0.4423,cmd,3,32.0256,,,0.00,0.00,
0.4424,cmd,4,46.3740,,,0.00,0.00,
0.4428,state,3,32.0256,3.638,-0.0440,,,31.0
0.4435,state,4,46.3740,1.399,-0.0293,,,29.0
0.4524,cmd,3,32.0256,,,0.00,0.00,
0.4524,cmd,4,46.3740,,,0.00,0.00,
0.4529,state,3,32.0256,-3.638,-0.0440,,,31.0
0.4537,state,4,46.3740,1.959,-0.0293,,,30.0
0.4622,cmd,3,32.0256,,,0.00,0.00,
0.4623,cmd,4,46.3740,,,0.00,0.00,
0.4628,state,3,32.0256,-5.876,-0.0440,,,31.0
0.4629,state,4,46.3740,0.280,-0.0293,,,29.0
0.4724,cmd,3,32.0256,,,0.00,0.00,
0.4725,cmd,4,46.3740,,,0.00,0.00,
0.4730,state,3,32.0256,3.078,-0.0440,,,31.0
0.4730,state,4,46.3520,-4.757,-0.0293,,,29.0
0.4824,cmd,3,32.0256,,,0.00,0.00,
0.4824,cmd,4,46.3740,,,0.00,0.00,
0.4830,state,3,32.0256,-2.518,-0.0440,,,31.0
0.4830,state,4,46.3520,-3.638,-0.0293,,,30.0
0.4924,cmd,3,32.0256,,,0.00,0.00,
0.4924,cmd,4,46.3520,,,0.00,0.00,
0.4930,state,3,32.0256,2.518,-0.0147,,,31.0
0.4930,state,4,46.3740,1.399,-0.0293,,,29.0
0.5022,cmd,3,32.0256,,,0.00,0.00,
0.5022,cmd,4,46.3520,,,0.00,0.00,
0.5028,state,3,32.0256,0.280,-0.0440,,,31.0
0.5029,state,4,46.3740,-2.518,-0.0293,,,29.0
0.5124,cmd,3,32.0256,,,0.00,0.00,
0.5124,cmd,4,46.3740,,,0.00,0.00,
0.5130,state,3,32.0256,-0.839,-0.0147,,,31.0
0.5131,state,4,46.3740,-1.399,-0.0293,,,30.0
0.5226,cmd,3,32.0256,,,0.00,0.00,
0.5226,cmd,4,46.3740,,,0.00,0.00,
0.5231,state,3,32.0256,-8.115,-0.0440,,,31.0
0.5233,state,4,46.3740,-0.839,-0.0293,,,30.0
0.5324,cmd,3,32.0256,,,0.00,0.00,
0.5324,cmd,4,46.3740,,,0.00,0.00,
0.5329,state,3,32.0256,0.839,0.0147,,,31.0
0.5330,state,4,46.3740,4.197,-0.0879,,,29.0
0.5424,cmd,3,32.0256,,,0.00,0.00,
0.5425,cmd,4,46.3740,,,0.00,0.00,
0.5429,state,3,32.0256,-3.078,-0.0147,,,31.0
0.5431,state,4,46.3740,0.280,-0.0879,,,29.0
0.5523,cmd,3,32.0256,,,0.00,0.00,
0.5524,cmd,4,46.3740,,,0.00,0.00,
0.5529,state,3,32.0256,0.839,-0.0440,,,31.0
0.5530,state,4,46.3740,1.959,-0.0879,,,30.0
0.5622,cmd,3,32.0256,,,0.00,0.00,
