t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.4403,state,3,31.9597,-0.280,-0.0440,,,31.0
0.4404,state,4,45.6489,0.839,-0.0879,,,30.0
0.4497,cmd,3,31.9597,,,79.37,2.98,
0.4497,cmd,4,45.6269,,,79.37,2.98,
0.4504,state,3,31.9597,5.317,-0.0440,,,31.0
0.4505,state,4,45.6489,0.839,-0.1465,,,30.0
0.4597,cmd,3,31.9597,,,79.37,2.98,
0.4597,cmd,4,45.6269,,,79.37,2.98,
0.4602,state,3,31.9597,-0.839,-0.0440,,,31.0
0.4604,state,4,45.6489,-3.078,-0.0879,,,30.0
0.4697,cmd,3,31.9597,,,79.37,2.98,
0.4697,cmd,4,45.6269,,,79.37,2.98,
0.4703,state,3,31.9597,-0.839,0.0147,,,31.0
0.4704,state,4,45.6489,0.280,-0.1465,,,30.0
0.4798,cmd,3,31.9597,,,79.37,2.98,
0.4798,cmd,4,45.6269,,,79.37,2.98,
0.4804,state,3,31.9597,-5.876,-0.0440,,,31.0
0.4805,state,4,45.6489,-1.959,-0.0879,,,30.0
0.4897,cmd,3,31.9597,,,79.37,2.98,
0.4898,cmd,4,45.6269,,,79.37,2.98,
0.4903,state,3,31.9597,-1.959,-0.0440,,,31.0
0.4905,state,4,45.6489,0.280,-0.1465,,,30.0
0.4997,cmd,3,31.9597,,,79.37,2.98,
0.4998,cmd,4,45.6269,,,79.37,2.98,
0.5003,state,3,31.9597,-0.280,-0.0440,,,31.0
0.5004,state,4,45.6489,2.518,-0.1465,,,30.0
0.5097,cmd,3,31.9597,,,79.37,2.98,
0.5098,cmd,4,45.6269,,,79.37,2.98,
0.5103,state,3,31.9597,-5.317,-0.1026,,,31.0
0.5104,state,4,45.6489,-0.280,-0.0879,,,30.0
0.5197,cmd,3,31.9597,,,79.37,2.98,
0.5198,cmd,4,45.6269,,,79.37,2.98,
0.5203,state,3,31.9597,-1.399,-0.0440,,,31.0
0.5204,state,4,45.6489,-2.518,-0.1465,,,30.0
0.5297,cmd,3,31.9597,,,79.37,2.98,
0.5298,cmd,4,45.6269,,,79.37,2.98,
0.5303,state,3,31.9597,-3.638,-0.0440,,,31.0
0.5304,state,4,45.6489,-1.959,-0.0879,,,30.0
0.5397,cmd,3,31.9597,,,79.37,2.98,
0.5397,cmd,4,45.6269,,,79.37,2.98,
0.5403,state,3,31.9597,-8.675,-0.0733,,,31.0
0.5404,state,4,45.6489,-0.839,-0.0879,,,30.0
0.5497,cmd,3,31.9597,,,79.37,2.98,
0.5498,cmd,4,45.6269,,,79.37,2.98,
0.5503,state,3,31.9597,1.959,-0.0440,,,31.0
0.5504,state,4,45.6489,-2.518,-0.0879,,,30.0
0.5598,cmd,3,31.9597,,,79.37,2.98,
0.5598,cmd,4,45.6269,,,79.37,2.98,
0.5603,state,3,31.9597,1.959,-0.0440,,,31.0
0.5604,state,4,45.6489,-5.876,-0.0879,,,30.0
0.5698,cmd,3,31.9597,,,79.37,2.98,
0.5698,cmd,4,45.6269,,,79.37,2.98,
0.5703,state,3,31.9597,-0.839,-0.0440,,,31.0
0.5704,state,4,45.6489,-1.399,-0.0879,,,30.0
0.5798,cmd,3,31.9597,,,79.37,2.98,
0.5798,cmd,4,45.6269,,,79.37,2.98,
0.5803,state,3,31.9597,2.518,-0.0440,,,31.0
0.5804,state,4,45.6489,-1.399,-0.1465,,,30.0
0.5898,cmd,3,31.9597,,,79.37,2.98,
0.5898,cmd,4,45.6269,,,79.37,2.98,
0.5902,state,3,31.9597,8.675,-0.1026,,,31.0
0.5904,state,4,45.6489,3.078,-0.1465,,,30.0
0.5997,cmd,3,31.9597,,,79.37,2.98,
0.5998,cmd,4,45.6269,,,79.37,2.98,
0.6003,state,3,31.9597,-0.839,-0.0440,,,31.0
0.6004,state,4,45.6489,-3.078,-0.0879,,,30.0
0.6097,cmd,3,31.9597,,,79.37,2.98,
0.6097,cmd,4,45.6269,,,79.37,2.98,
0.6103,state,3,31.9597,3.078,-0.0440,,,31.0
0.6104,state,4,45.6489,-2.518,-0.0879,,,30.0
0.6198,cmd,3,31.9597,,,79.37,2.98,
0.6198,cmd,4,45.6269,,,79.37,2.98,
0.6203,state,3,31.9597,0.280,-0.0733,,,31.0
0.6204,state,4,45.6489,0.280,-0.0879,,,30.0
0.6297,cmd,3,31.9597,,,79.37,2.98,
0.6297,cmd,4,45.6269,,,79.37,2.98,
0.6303,state,3,31.9597,1.399,-0.1026,,,31.0
0.6304,state,4,45.6489,0.839,-0.0879,,,30.0
0.6397,cmd,3,31.9597,,,79.37,2.98,
0.6398,cmd,4,45.6269,,,79.37,2.98,
