t_s,kind,id,pos_deg,vel_deg_s,tau_nm,kp,kd,temp_c
0.6284,cmd,4,18.9957,,,0.00,0.00,
0.6290,state,3,0.0549,5.876,-0.0440,,,37.0
0.6291,state,4,18.9957,-1.399,-0.0879,,,35.0
0.6384,cmd,3,0.0549,,,0.00,0.00,
0.6384,cmd,4,18.9957,,,0.00,0.00,
0.6390,state,3,0.0549,-3.078,0.0147,,,37.0
0.6391,state,4,18.9957,0.280,-0.0293,,,35.0
0.6485,cmd,3,0.0549,,,0.00,0.00,
0.6485,cmd,4,18.9957,,,0.00,0.00,
0.6490,state,3,0.0549,5.317,-0.0733,,,37.0
0.6491,state,4,18.9957,-0.280,-0.0293,,,35.0
0.6584,cmd,3,0.0549,,,0.00,0.00,
0.6585,cmd,4,18.9957,,,0.00,0.00,
0.6591,state,3,0.0549,6.436,-0.0440,,,37.0
0.6592,state,4,18.9957,-1.399,-0.0293,,,35.0
0.6684,cmd,3,0.0549,,,0.00,0.00,
0.6685,cmd,4,18.9957,,,0.00,0.00,
0.6690,state,3,0.0549,-4.197,-0.0147,,,37.0
0.6691,state,4,18.9957,0.280,-0.0293,,,35.0
0.6784,cmd,3,0.0549,,,0.00,0.00,
0.6784,cmd,4,18.9957,,,0.00,0.00,
0.6790,state,3,0.0549,-3.638,0.0147,,,37.0
0.6791,state,4,18.9957,-0.280,-0.0879,,,35.0
0.6885,cmd,3,0.0549,,,0.00,0.00,
0.6885,cmd,4,18.9957,,,0.00,0.00,
0.6890,state,3,0.0549,-8.115,-0.0147,,,37.0
0.6891,state,4,18.9957,4.757,-0.0293,,,35.0
0.6984,cmd,3,0.0549,,,0.00,0.00,
0.6984,cmd,4,18.9957,,,0.00,0.00,
0.6991,state,3,0.0549,-0.839,-0.0147,,,37.0
0.6992,state,4,18.9957,-1.399,-0.0879,,,35.0
0.7084,cmd,3,0.0549,,,0.00,0.00,
0.7084,cmd,4,18.9957,,,0.00,0.00,
0.7090,state,3,0.0549,-3.078,-0.0147,,,37.0
0.7091,state,4,18.9957,3.078,-0.0879,,,35.0
0.7184,cmd,3,0.0549,,,0.00,0.00,
0.7185,cmd,4,18.9957,,,0.00,0.00,
0.7190,state,3,0.0549,-9.234,-0.0733,,,37.0
0.7191,state,4,18.9957,1.959,-0.0293,,,35.0
0.7286,cmd,3,0.0549,,,0.00,0.00,
0.7286,cmd,4,18.9957,,,0.00,0.00,
0.7291,state,3,0.0549,-3.078,-0.0147,,,37.0
0.7292,state,4,18.9957,-0.839,-0.0879,,,35.0
0.7385,cmd,3,0.0549,,,0.00,0.00,
0.7385,cmd,4,18.9957,,,0.00,0.00,
0.7391,state,3,0.0549,-0.280,-0.0147,,,37.0
0.7392,state,4,18.9957,-0.839,-0.0879,,,35.0
0.7485,cmd,3,0.0549,,,0.00,0.00,
0.7486,cmd,4,18.9957,,,0.00,0.00,
0.7491,state,3,0.0549,-4.757,-0.0440,,,37.0
0.7492,state,4,18.9957,0.839,-0.0879,,,35.0
0.7585,cmd,3,0.0549,,,0.00,0.00,
0.7585,cmd,4,18.9957,,,0.00,0.00,
0.7590,state,3,0.0549,-4.197,-0.0147,,,37.0
0.7591,state,4,18.9957,2.518,-0.0293,,,35.0
0.7685,cmd,3,0.0549,,,0.00,0.00,
0.7685,cmd,4,18.9957,,,0.00,0.00,
0.7691,state,3,0.0549,-6.996,-0.0440,,,37.0
0.7692,state,4,18.9957,-1.399,-0.0293,,,35.0
0.7784,cmd,3,0.0549,,,0.00,0.00,
0.7784,cmd,4,18.9957,,,0.00,0.00,
0.7791,state,3,0.0549,-4.757,-0.0440,,,37.0
0.7792,state,4,18.9957,4.197,-0.0293,,,35.0
0.7885,cmd,3,0.0549,,,0.00,0.00,
0.7885,cmd,4,18.9957,,,0.00,0.00,
0.7890,state,3,0.0549,-0.280,-0.0733,,,37.0
0.7891,state,4,18.9957,0.280,-0.0879,,,35.0
0.7985,cmd,3,0.0549,,,0.00,0.00,
0.7985,cmd,4,18.9957,,,0.00,0.00,
0.7990,state,3,0.0549,-3.078,-0.0440,,,37.0
0.7991,state,4,18.9957,1.399,-0.0293,,,35.0
0.8085,cmd,3,0.0549,,,0.00,0.00,
0.8085,cmd,4,18.9957,,,0.00,0.00,
0.8090,state,3,0.0549,-0.839,-0.0440,,,37.0
0.8091,state,4,18.9957,-1.959,-0.0293,,,35.0
0.8185,cmd,3,0.0549,,,0.00,0.00,
0.8185,cmd,4,18.9957,,,0.00,0.00,
0.8190,state,3,0.0549,1.959,-0.0147,,,37.0
0.8191,state,4,18.9957,2.518,-0.0879,,,35.0
0.8285,cmd,3,0.0549,,,0.00,0.00,
0.8285,cmd,4,18.9957,,,0.00,0.00,
0.8291,state,3,0.0549,-8.115,-0.0147,,,37.0
0.8292,state,4,18.9957,1.959,-0.0293,,,35.0
0.8385,cmd,3,0.0549,,,0.00,0.00,
0.8385,cmd,4,18.9957,,,0.00,0.00,
0.8391,state,3,0.0549,-0.280,-0.0147,,,37.0
0.8392,state,4,18.9957,1.399,-0.0879,,,35.0
0.8485,cmd,3,0.0549,,,0.00,0.00,
0.8485,cmd,4,18.9957,,,0.00,0.00,
0.8490,state,3,0.0549,2.518,-0.0440,,,37.0
0.8491,state,4,18.9957,0.280,-0.1465,,,35.0
0.8586,cmd,3,0.0549,,,0.00,0.00,
0.8586,cmd,4,18.9957,,,0.00,0.00,
0.8591,state,3,0.0549,-0.839,-0.0440,,,37.0
0.8592,state,4,18.9957,-3.078,-0.0293,,,35.0
0.8685,cmd,3,0.0549,,,0.00,0.00,
0.8685,cmd,4,18.9957,,,0.00,0.00,
0.8691,state,3,0.0549,1.399,-0.0147,,,37.0
0.8692,state,4,18.9957,-4.197,-0.0293,,,35.0
0.8785,cmd,3,0.0549,,,0.00,0.00,
0.8785,cmd,4,18.9957,,,0.00,0.00,
0.8790,state,3,0.0549,-1.399,-0.0147,,,37.0
0.8791,state,4,18.9957,0.280,-0.0879,,,35.0
0.8885,cmd,3,0.0549,,,0.00,0.00,
0.8885,cmd,4,18.9957,,,0.00,0.00,
0.8890,state,3,0.0549,-1.959,-0.0440,,,37.0
0.8891,state,4,18.9957,0.280,-0.0293,,,35.0
0.8985,cmd,3,0.0549,,,0.00,0.00,
0.8985,cmd,4,18.9957,,,0.00,0.00,
0.8991,state,3,0.0549,-3.078,-0.0147,,,37.0
0.8992,state,4,18.9957,0.839,-0.0293,,,35.0
0.9084,cmd,3,0.0549,,,0.00,0.00,
0.9085,cmd,4,18.9957,,,0.00,0.00,
0.9090,state,3,0.0549,0.280,-0.0147,,,37.0
0.9092,state,4,18.9957,-0.280,-0.0293,,,35.0
0.9186,cmd,3,0.0549,,,0.00,0.00,
0.9186,cmd,4,18.9957,,,0.00,0.00,
0.9191,state,3,0.0549,-1.959,-0.0147,,,37.0
0.9192,state,4,18.9957,-1.959,-0.0879,,,35.0
0.9284,cmd,3,0.0549,,,0.00,0.00,
0.9285,cmd,4,18.9957,,,0.00,0.00,
0.9290,state,3,0.0549,-4.757,-0.0440,,,37.0
0.9292,state,4,18.9957,3.638,-0.0293,,,35.0
0.9385,cmd,3,0.0549,,,0.00,0.00,
0.9385,cmd,4,18.9957,,,0.00,0.00,
0.9391,state,3,0.0549,-1.399,-0.0147,,,37.0
0.9392,state,4,18.9957,3.638,-0.0293,,,35.0
0.9485,cmd,3,0.0549,,,0.00,0.00,
0.9485,cmd,4,18.9957,,,0.00,0.00,
0.9490,state,3,0.0549,-5.876,-0.0733,,,37.0
0.9491,state,4,18.9957,-1.959,-0.0293,,,35.0
0.9585,cmd,3,0.0549,,,0.00,0.00,
0.9585,cmd,4,18.9957,,,0.00,0.00,
0.9590,state,3,0.0549,-2.518,-0.0147,,,37.0
0.9591,state,4,18.9957,-0.839,-0.0293,,,35.0
0.9684,cmd,3,0.0549,,,0.00,0.00,
0.9685,cmd,4,18.9957,,,0.00,0.00,
0.9691,state,3,0.0549,2.518,-0.0733,,,37.0
0.9692,state,4,18.9957,-5.876,-0.0293,,,35.0
0.9785,cmd,3,0.0549,,,0.00,0.00,
0.9786,cmd,4,18.9957,,,0.00,0.00,
0.9792,state,3,0.0549,-3.078,-0.0733,,,37.0
0.9792,state,4,18.9957,2.518,-0.0879,,,35.0
0.9884,cmd,3,0.0549,,,0.00,0.00,
0.9885,cmd,4,18.9957,,,0.00,0.00,
0.9891,state,3,0.0549,-7.555,-0.0440,,,37.0
0.9892,state,4,18.9957,-0.280,-0.0293,,,35.0
0.9984,cmd,3,0.0549,,,0.00,0.00,
0.9984,cmd,4,18.9957,,,0.00,0.00,
0.9991,state,3,0.0549,-0.839,-0.0147,,,37.0
0.9991,state,4,18.9957,-4.757,-0.0293,,,35.0
1.0085,cmd,3,0.0549,,,0.00,0.00,
1.0085,cmd,4,18.9957,,,0.00,0.00,
1.0091,state,3,0.0549,2.518,-0.0440,,,37.0
1.0092,state,4,18.9957,0.280,-0.0293,,,35.0
1.0185,cmd,3,0.0549,,,0.00,0.00,
1.0185,cmd,4,18.9957,,,0.00,0.00,
1.0189,state,3,0.0549,-3.078,-0.0147,,,37.0
1.0192,state,4,18.9957,-0.839,-0.0879,,,35.0
1.0285,cmd,3,0.0549,,,0.00,0.00,
1.0285,cmd,4,18.9957,,,0.00,0.00,
1.0291,state,3,0.0549,-3.638,0.0147,,,37.0
1.0292,state,4,18.9957,0.839,-0.0293,,,35.0
1.0386,cmd,3,0.0549,,,0.00,0.00,
1.0386,cmd,4,18.9957,,,0.00,0.00,
1.0390,state,3,0.0549,0.839,-0.0440,,,37.0
1.0392,state,4,18.9957,-0.839,-0.0293,,,35.0
1.0485,cmd,3,0.0549,,,0.00,0.00,
1.0485,cmd,4,18.9957,,,0.00,0.00,
1.0490,state,3,0.0549,0.280,-0.0440,,,37.0
1.0492,state,4,18.9957,-1.399,-0.0293,,,35.0
1.0585,cmd,3,0.0549,,,0.00,0.00,
1.0585,cmd,4,18.9957,,,0.00,0.00,
1.0591,state,3,0.0769,3.078,-0.0147,,,37.0
1.0592,state,4,18.9957,0.839,-0.0879,,,35.0
1.0685,cmd,3,0.0549,,,0.00,0.00,
1.0686,cmd,4,18.9957,,,0.00,0.00,
1.0691,state,3,0.0549,-4.757,-0.0147,,,37.0
1.0692,state,4,18.9957,2.518,-0.0879,,,35.0
1.0785,cmd,3,0.0769,,,0.00,0.00,
1.0785,cmd,4,18.9957,,,0.00,0.00,
1.0791,state,3,0.0549,7.555,-0.0440,,,37.0
1.0792,state,4,18.9957,-1.399,-0.0879,,,35.0
1.0885,cmd,3,0.0549,,,0.00,0.00,
