host_monotonic_ns,host_dt_ms,sensor_ms,sensor_dt_ms,gravity_x,gravity_y,gravity_z,gravity_norm,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_mps2,accel_y_mps2,accel_z_mps2,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,temp_c
76439483752923,9.988655,56841.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.36312435,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439493705413,9.95249,56851.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.36312435,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439503559867,9.854454,56861.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439513665126,10.105259,56871.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.669356899999999,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439523645947,9.980821,56881.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.69877685,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439533615543,9.969596,56891.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.36312435,0.7060787999999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439543608287,9.992744,56901.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439593723177,50.11489,56951.0,50.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439613805538,20.082361,56971.0,20.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439633768449,19.962911,56991.0,20.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.36312435,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76439643818156,10.049707,57001.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.669356899999999,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440073765921,429.947765,57431.0,430.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440133756339,59.990418,57491.0,60.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440153601912,19.845573,57511.0,20.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440213754720,60.152808,57571.0,60.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440323697038,109.942318,57681.0,110.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7060787999999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
76440333697685,10.000647,57691.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.69877685,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440383563068,49.865383,57741.0,50.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.669356899999999,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440393574370,10.011302,57751.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440413784384,20.210014,57771.0,20.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440423768290,9.983906,57781.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3925442999999997,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440433659327,9.891037,57791.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440443615831,9.956504,57801.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7060787999999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440453727609,10.111778,57811.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.36312435,0.7060787999999999,9.669356899999999,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440463618103,9.890494,57821.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7060787999999999,9.669356899999999,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440473644277,10.026174,57831.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440483607618,9.963341,57841.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440493630367,10.022749,57851.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440503702575,10.072208,57861.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7060787999999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440513789735,10.08716,57871.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440533687147,19.897412,57891.0,20.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440543560388,9.873241,57901.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440553634108,10.07372,57911.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440563566929,9.932821,57921.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.36312435,0.7256921,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440573586633,10.019704,57931.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440583625596,10.038963,57941.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440593634531,10.008935,57951.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3827376499999997,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440603555252,9.920721,57961.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.36312435,0.7158854499999999,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440613590434,10.035182,57971.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440623645711,10.055277,57981.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7158854499999999,9.67916355,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.6
76440633589765,9.944054,57991.0,10.0,-0.14040303999999998,-0.07313994,-0.98738918,0.9999999286227562,0.0,0.0,0.0,-1.3729310000000001,0.7256921,9.6889702,-0.6587,-0.0771,0.019,-0.7482,4.236394841807654,-8.071169098508088,96.98059113179256,31.7
